,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,ID,compound,neg,neu,pos
0,1,spotify:track:4xWzZmX4K1yyrdtRfbUvjt,Niack,Oh Juliana,Niack,1,1,28,770933,4xWzZmX4K1yyrdtRfbUvjt,0.9811,0.01,0.945,0.046
1,2,spotify:track:4zGtfOglDBfVUypabBwIjQ,"Mc Zaac, Anitta, Tyga",Desce Pro Play (PA PA PA),Universal Music Ltda.,1,2,41,575723,4zGtfOglDBfVUypabBwIjQ,-0.918,0.049,0.935,0.016
2,3,spotify:track:2fmeSswdyVq4wcqhY41UHk,"Pineapple StormTv, L7NNON, Chris MC, Xamã, Lourena, Cesar Mc, Djonga, Filipe Ret, Salve Malak, Hunter",Poesia Acústica #9: Melhor Forma,Pineapple StormTV,2,3,26,464754,2fmeSswdyVq4wcqhY41UHk,0.0,0.0,1.0,0.0
3,4,spotify:track:15k1TDabqSEmyXOwMq9RM7,Jonas Esticado,Investe Em Mim,Som Livre,3,4,40,463137,15k1TDabqSEmyXOwMq9RM7,0.0,0.0,1.0,0.0
4,5,spotify:track:0AGS6ZRgzobrazmCi6pYMe,Niack,Na Raba Toma Tapão,Niack / Ritmo dos Fluxos,1,5,83,425286,0AGS6ZRgzobrazmCi6pYMe,-0.8126,0.032,0.957,0.011
5,6,spotify:track:0RaIjuKU5hudMteEXwr4RS,Jorge & Mateus,Ranking,Som Livre,4,7,153,389113,0RaIjuKU5hudMteEXwr4RS,-0.89,0.045,0.955,0.0
6,7,spotify:track:5GAdMAL3tRJkVN1HtwohK2,"Mc Don Juan, Maiara & Maraisa",Vai Ter Que Aguentar,GR6 Music,6,6,66,387464,5GAdMAL3tRJkVN1HtwohK2,-0.9355,0.051,0.949,0.0
7,8,spotify:track:25gD4PQjxCLnwIY2n23aEl,"Vitão, Luísa Sonza",Flores,Universal Music Ltda.,2,9,55,373659,25gD4PQjxCLnwIY2n23aEl,-0.5267,0.013,0.987,0.0
8,9,spotify:track:67mqU3FeErlvWwsxnMfvQo,"MC Du Black, Delacruz",Tudo Aconteceu,Universal Music Ltda.,3,8,133,371146,67mqU3FeErlvWwsxnMfvQo,-0.9413,0.05,0.95,0.0
9,10,spotify:track:7o9LwQmTuIDm4LyyHFIWul,Henrique & Juliano,Volta Por Baixo - Ao Vivo,Virgin Music Label And Artist Services (S&D),2,10,209,369350,7o9LwQmTuIDm4LyyHFIWul,0.9798,0.0,0.907,0.093
10,11,spotify:track:12v6LfkX9YIR3uLefIAAYZ,Mc Jacaré,Comprei um Lança,Mc Jacare / Los Pantchos,11,11,44,341512,12v6LfkX9YIR3uLefIAAYZ,-0.8807,0.041,0.959,0.0
11,12,spotify:track:3tc8Z4lGzOIwmIVftsxO6o,Marília Mendonça,Graveto - Ao Vivo,Som Livre,3,12,209,339351,3tc8Z4lGzOIwmIVftsxO6o,0.34,0.015,0.968,0.017
12,13,spotify:track:3WjSkl7VDWY1prwJw7dSG0,Zé Neto & Cristiano,Barzinho Aleatório - Ao Vivo,Som Livre,7,13,244,338239,3WjSkl7VDWY1prwJw7dSG0,-0.5267,0.021,0.979,0.0
13,14,spotify:track:6jcGoHrqfRW6fI2I6xtwBQ,MC Marks,Deus é por nós,WM Brazil,14,14,52,323132,6jcGoHrqfRW6fI2I6xtwBQ,-0.5267,0.01,0.99,0.0
14,15,spotify:track:51uXmhqGR76tT2UeKZyeN6,"Marília Mendonça, Maiara & Maraisa",Quero Você do Jeito Que Quiser,Som Livre,12,16,27,320871,51uXmhqGR76tT2UeKZyeN6,0.9186,0.0,0.96,0.04
15,16,spotify:track:60wF0XnX7A0jVpDNA5v8vi,"Vytinho NG, Bianca",Tudo no Sigilo,Vytinho Ng,3,15,141,320030,60wF0XnX7A0jVpDNA5v8vi,-0.8642,0.03,0.97,0.0
16,17,spotify:track:4DngRKOpRPrkbzImUB0zgh,Matheus & Kauan,Litrão - Ao Vivo Em Recife / 2020,Universal Music Ltda.,2,17,188,318221,4DngRKOpRPrkbzImUB0zgh,-0.7989,0.029,0.971,0.0
17,18,spotify:track:7Ac3BmqTQoLdAt7HtZyfgN,"DENNIS, Mc Don Juan",Te Prometo,Sony Music Entertainment,8,18,180,314210,7Ac3BmqTQoLdAt7HtZyfgN,-0.9874,0.021,0.965,0.013
18,19,spotify:track:2WlZuBDgLfT7Kc0admhFdg,Luísa Sonza,BRABA,Universal Music Ltda.,1,19,141,306848,2WlZuBDgLfT7Kc0admhFdg,-0.5267,0.017,0.983,0.0
19,20,spotify:track:4x8XaoLvpo6kd51PZD16RK,"Dilsinho, Henrique & Juliano",Sogra - Ao Vivo,Sony Music Entertainment,17,20,59,296005,4x8XaoLvpo6kd51PZD16RK,0.0,0.0,1.0,0.0
20,21,spotify:track:260n4ECk9j4IEvTAVBYojl,Matheus & Kauan,Nem Doeu - Ao Vivo,Universal Music Ltda.,21,22,69,286154,260n4ECk9j4IEvTAVBYojl,-0.5267,0.015,0.985,0.0
21,22,spotify:track:3Ghyp3X5Ua9ypHnBIgOObI,Henrique & Juliano,Liberdade Provisória - Live - Ibirapuera / 2019,Virgin Music Label And Artist Services (S&D),1,23,244,285943,3Ghyp3X5Ua9ypHnBIgOObI,-0.6808,0.023,0.977,0.0
22,23,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,Columbia,21,21,176,284472,6UelLqGlWMcVH1E5c4H7lY,0.9584,0.0,0.912,0.088
23,24,spotify:track:28atBekPVlTdnU4M9Z7udd,"Dilsinho, Luísa Sonza, Malibu",Não Vai Embora,Malibu Studios,23,24,90,274506,28atBekPVlTdnU4M9Z7udd,-0.8105,0.02,0.98,0.0
24,25,spotify:track:3tv697PZNnaQN0Mn2zGhS5,Gusttavo Lima,A Gente Fez Amor - Ao Vivo,Sony Music Entertainment,1,26,244,272557,3tv697PZNnaQN0Mn2zGhS5,0.9946,0.029,0.823,0.148
25,26,spotify:track:7pDcS0EVMJR0YwjXmHcCRg,"Luísa Sonza, Mc Zaac",TOMA,Universal Music Ltda.,25,25,6,272200,7pDcS0EVMJR0YwjXmHcCRg,-0.9081,0.044,0.956,0.0
