,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,ID,compound,neg,neu,pos
0,1,spotify:track:4xWzZmX4K1yyrdtRfbUvjt,Niack,Oh Juliana,Niack,1,1,22,674025,4xWzZmX4K1yyrdtRfbUvjt,0.9811,0.01,0.945,0.046
1,2,spotify:track:4zGtfOglDBfVUypabBwIjQ,"Mc Zaac, Anitta, Tyga",Desce Pro Play (PA PA PA),Universal Music Ltda.,1,2,35,550384,4zGtfOglDBfVUypabBwIjQ,-0.918,0.049,0.935,0.016
2,3,spotify:track:2fmeSswdyVq4wcqhY41UHk,"Pineapple StormTv, L7NNON, Chris MC, Xamã, Lourena, Cesar Mc, Djonga, Filipe Ret, Salve Malak, Hunter",Poesia Acústica #9: Melhor Forma,Pineapple StormTV,2,3,20,445551,2fmeSswdyVq4wcqhY41UHk,0.0,0.0,1.0,0.0
3,4,spotify:track:0AGS6ZRgzobrazmCi6pYMe,Niack,Na Raba Toma Tapão,Niack / Ritmo dos Fluxos,1,4,77,440772,0AGS6ZRgzobrazmCi6pYMe,-0.8126,0.032,0.957,0.011
4,5,spotify:track:15k1TDabqSEmyXOwMq9RM7,Jonas Esticado,Investe Em Mim,Som Livre,4,5,34,412830,15k1TDabqSEmyXOwMq9RM7,0.0,0.0,1.0,0.0
5,6,spotify:track:5GAdMAL3tRJkVN1HtwohK2,"Mc Don Juan, Maiara & Maraisa",Vai Ter Que Aguentar,GR6 Music,6,6,60,365139,5GAdMAL3tRJkVN1HtwohK2,-0.9355,0.051,0.949,0.0
6,7,spotify:track:0RaIjuKU5hudMteEXwr4RS,Jorge & Mateus,Ranking,Som Livre,4,8,147,356077,0RaIjuKU5hudMteEXwr4RS,-0.89,0.045,0.955,0.0
7,8,spotify:track:67mqU3FeErlvWwsxnMfvQo,"MC Du Black, Delacruz",Tudo Aconteceu,Universal Music Ltda.,3,7,127,354858,67mqU3FeErlvWwsxnMfvQo,-0.9413,0.05,0.95,0.0
8,9,spotify:track:7o9LwQmTuIDm4LyyHFIWul,Henrique & Juliano,Volta Por Baixo - Ao Vivo,Virgin Music Label And Artist Services (S&D),2,9,203,344934,7o9LwQmTuIDm4LyyHFIWul,0.9798,0.0,0.907,0.093
9,10,spotify:track:3tc8Z4lGzOIwmIVftsxO6o,Marília Mendonça,Graveto - Ao Vivo,Som Livre,3,11,203,339509,3tc8Z4lGzOIwmIVftsxO6o,0.34,0.015,0.968,0.017
10,11,spotify:track:25gD4PQjxCLnwIY2n23aEl,"Vitão, Luísa Sonza",Flores,Universal Music Ltda.,2,10,49,331423,25gD4PQjxCLnwIY2n23aEl,-0.5267,0.013,0.987,0.0
11,12,spotify:track:12v6LfkX9YIR3uLefIAAYZ,Mc Jacaré,Comprei um Lança,Mc Jacare / Los Pantchos,12,13,38,327553,12v6LfkX9YIR3uLefIAAYZ,-0.8807,0.041,0.959,0.0
12,13,spotify:track:51uXmhqGR76tT2UeKZyeN6,"Marília Mendonça, Maiara & Maraisa",Quero Você do Jeito Que Quiser,Som Livre,12,12,21,322690,51uXmhqGR76tT2UeKZyeN6,0.9186,0.0,0.96,0.04
