,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,ID,compound,neg,neu,pos
0,1,spotify:track:4xWzZmX4K1yyrdtRfbUvjt,Niack,Oh Juliana,Niack,1,1,34,759993,4xWzZmX4K1yyrdtRfbUvjt,0.9811,0.01,0.945,0.046
1,2,spotify:track:4zGtfOglDBfVUypabBwIjQ,"Mc Zaac, Anitta, Tyga",Desce Pro Play (PA PA PA),Universal Music Ltda.,1,2,47,522760,4zGtfOglDBfVUypabBwIjQ,-0.918,0.049,0.935,0.016
2,3,spotify:track:2fmeSswdyVq4wcqhY41UHk,"Pineapple StormTv, L7NNON, Chris MC, Xamã, Lourena, Cesar Mc, Djonga, Filipe Ret, Salve Malak, Hunter",Poesia Acústica #9: Melhor Forma,Pineapple StormTV,2,3,32,468395,2fmeSswdyVq4wcqhY41UHk,0.0,0.0,1.0,0.0
3,4,spotify:track:15k1TDabqSEmyXOwMq9RM7,Jonas Esticado,Investe Em Mim,Som Livre,2,4,46,433266,15k1TDabqSEmyXOwMq9RM7,0.0,0.0,1.0,0.0
4,5,spotify:track:0AGS6ZRgzobrazmCi6pYMe,Niack,Na Raba Toma Tapão,Niack / Ritmo dos Fluxos,1,5,89,417605,0AGS6ZRgzobrazmCi6pYMe,-0.8126,0.032,0.957,0.011
5,6,spotify:track:0RaIjuKU5hudMteEXwr4RS,Jorge & Mateus,Ranking,Som Livre,4,7,159,363098,0RaIjuKU5hudMteEXwr4RS,-0.89,0.045,0.955,0.0
6,7,spotify:track:7o9LwQmTuIDm4LyyHFIWul,Henrique & Juliano,Volta Por Baixo - Ao Vivo,Virgin Music Label And Artist Services (S&D),2,6,215,362928,7o9LwQmTuIDm4LyyHFIWul,0.9798,0.0,0.907,0.093
7,8,spotify:track:5GAdMAL3tRJkVN1HtwohK2,"Mc Don Juan, Maiara & Maraisa",Vai Ter Que Aguentar,GR6 Music,6,8,72,349891,5GAdMAL3tRJkVN1HtwohK2,-0.9355,0.051,0.949,0.0
8,9,spotify:track:67mqU3FeErlvWwsxnMfvQo,"MC Du Black, Delacruz",Tudo Aconteceu,Universal Music Ltda.,3,9,139,347246,67mqU3FeErlvWwsxnMfvQo,-0.9413,0.05,0.95,0.0
9,10,spotify:track:12v6LfkX9YIR3uLefIAAYZ,Mc Jacaré,Comprei um Lança,Mc Jacare / Los Pantchos,10,10,50,340483,12v6LfkX9YIR3uLefIAAYZ,-0.8807,0.041,0.959,0.0
10,11,spotify:track:25gD4PQjxCLnwIY2n23aEl,"Vitão, Luísa Sonza",Flores,Universal Music Ltda.,2,12,61,326374,25gD4PQjxCLnwIY2n23aEl,-0.5267,0.013,0.987,0.0
