,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,ID,compound,neg,neu,pos
0,1,spotify:track:0AGS6ZRgzobrazmCi6pYMe,Niack,Na Raba Toma Tapão,Niack / Ritmo dos Fluxos,1,1,36,648956,0AGS6ZRgzobrazmCi6pYMe,-0.8126,0.032,0.957,0.011
1,2,spotify:track:25gD4PQjxCLnwIY2n23aEl,"Vitão, Luísa Sonza",Flores,Universal Music Ltda.,2,2,8,514184,25gD4PQjxCLnwIY2n23aEl,-0.5267,0.013,0.987,0.0
2,3,spotify:track:4DngRKOpRPrkbzImUB0zgh,Matheus & Kauan,Litrão - Ao Vivo Em Recife / 2020,Universal Music Ltda.,2,3,141,464456,4DngRKOpRPrkbzImUB0zgh,-0.7989,0.029,0.971,0.0
3,4,spotify:track:7o9LwQmTuIDm4LyyHFIWul,Henrique & Juliano,Volta Por Baixo - Ao Vivo,Virgin Music Label And Artist Services (S&D),3,8,162,454807,7o9LwQmTuIDm4LyyHFIWul,0.9798,0.0,0.907,0.093
4,5,spotify:track:3Ghyp3X5Ua9ypHnBIgOObI,Henrique & Juliano,Liberdade Provisória - Live - Ibirapuera / 2019,Virgin Music Label And Artist Services (S&D),1,7,197,448753,3Ghyp3X5Ua9ypHnBIgOObI,-0.6808,0.023,0.977,0.0
5,6,spotify:track:67mqU3FeErlvWwsxnMfvQo,"MC Du Black, Delacruz",Tudo Aconteceu,Universal Music Ltda.,3,6,86,433464,67mqU3FeErlvWwsxnMfvQo,-0.9413,0.05,0.95,0.0
6,7,spotify:track:2WlZuBDgLfT7Kc0admhFdg,Luísa Sonza,BRABA,Universal Music Ltda.,1,5,94,427449,2WlZuBDgLfT7Kc0admhFdg,-0.5267,0.017,0.983,0.0
7,8,spotify:track:0RaIjuKU5hudMteEXwr4RS,Jorge & Mateus,Ranking,Som Livre,5,9,106,421395,0RaIjuKU5hudMteEXwr4RS,-0.89,0.045,0.955,0.0
8,9,spotify:track:3tv697PZNnaQN0Mn2zGhS5,Gusttavo Lima,A Gente Fez Amor - Ao Vivo,Sony Music Entertainment,1,13,197,418664,3tv697PZNnaQN0Mn2zGhS5,0.9946,0.029,0.823,0.148
9,10,spotify:track:60wF0XnX7A0jVpDNA5v8vi,"Vytinho NG, Bianca",Tudo no Sigilo,Vytinho Ng,3,10,94,417039,60wF0XnX7A0jVpDNA5v8vi,-0.8642,0.03,0.97,0.0
10,11,spotify:track:3tc8Z4lGzOIwmIVftsxO6o,Marília Mendonça,Graveto - Ao Vivo,Som Livre,3,11,162,415395,3tc8Z4lGzOIwmIVftsxO6o,0.34,0.015,0.968,0.017
11,12,spotify:track:6NM06xgqxQ0HU5lxbt2JHi,Gusttavo Lima,Saudade Sua,Sony Music Entertainment,2,4,36,410780,6NM06xgqxQ0HU5lxbt2JHi,-0.4871,0.012,0.988,0.0
12,13,spotify:track:7Ac3BmqTQoLdAt7HtZyfgN,"DENNIS, Mc Don Juan",Te Prometo,Sony Music Entertainment,8,12,133,400330,7Ac3BmqTQoLdAt7HtZyfgN,-0.9874,0.021,0.965,0.013
13,14,spotify:track:3WjSkl7VDWY1prwJw7dSG0,Zé Neto & Cristiano,Barzinho Aleatório - Ao Vivo,Som Livre,8,15,197,396848,3WjSkl7VDWY1prwJw7dSG0,-0.5267,0.021,0.979,0.0
