,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,ID,compound,neg,neu,pos
0,1,spotify:track:4xWzZmX4K1yyrdtRfbUvjt,Niack,Oh Juliana,Niack,1,1,20,696894,4xWzZmX4K1yyrdtRfbUvjt,0.9811,0.01,0.945,0.046
1,2,spotify:track:4zGtfOglDBfVUypabBwIjQ,"Mc Zaac, Anitta, Tyga",Desce Pro Play (PA PA PA),Universal Music Ltda.,1,2,33,596274,4zGtfOglDBfVUypabBwIjQ,-0.918,0.049,0.935,0.016
2,3,spotify:track:0AGS6ZRgzobrazmCi6pYMe,Niack,Na Raba Toma Tapão,Niack / Ritmo dos Fluxos,1,3,75,471107,0AGS6ZRgzobrazmCi6pYMe,-0.8126,0.032,0.957,0.011
3,4,spotify:track:2fmeSswdyVq4wcqhY41UHk,"Pineapple StormTv, L7NNON, Chris MC, Xamã, Lourena, Cesar Mc, Djonga, Filipe Ret, Salve Malak, Hunter",Poesia Acústica #9: Melhor Forma,Pineapple StormTV,2,4,18,470091,2fmeSswdyVq4wcqhY41UHk,0.0,0.0,1.0,0.0
4,5,spotify:track:15k1TDabqSEmyXOwMq9RM7,Jonas Esticado,Investe Em Mim,Som Livre,4,5,32,412258,15k1TDabqSEmyXOwMq9RM7,0.0,0.0,1.0,0.0
5,6,spotify:track:5GAdMAL3tRJkVN1HtwohK2,"Mc Don Juan, Maiara & Maraisa",Vai Ter Que Aguentar,GR6 Music,6,6,58,378862,5GAdMAL3tRJkVN1HtwohK2,-0.9355,0.051,0.949,0.0
6,7,spotify:track:67mqU3FeErlvWwsxnMfvQo,"MC Du Black, Delacruz",Tudo Aconteceu,Universal Music Ltda.,3,8,125,367863,67mqU3FeErlvWwsxnMfvQo,-0.9413,0.05,0.95,0.0
7,8,spotify:track:0RaIjuKU5hudMteEXwr4RS,Jorge & Mateus,Ranking,Som Livre,4,7,145,352042,0RaIjuKU5hudMteEXwr4RS,-0.89,0.045,0.955,0.0
8,9,spotify:track:25gD4PQjxCLnwIY2n23aEl,"Vitão, Luísa Sonza",Flores,Universal Music Ltda.,2,11,47,349950,25gD4PQjxCLnwIY2n23aEl,-0.5267,0.013,0.987,0.0
9,10,spotify:track:7o9LwQmTuIDm4LyyHFIWul,Henrique & Juliano,Volta Por Baixo - Ao Vivo,Virgin Music Label And Artist Services (S&D),2,9,201,344559,7o9LwQmTuIDm4LyyHFIWul,0.9798,0.0,0.907,0.093
10,11,spotify:track:3tc8Z4lGzOIwmIVftsxO6o,Marília Mendonça,Graveto - Ao Vivo,Som Livre,3,10,201,340603,3tc8Z4lGzOIwmIVftsxO6o,0.34,0.015,0.968,0.017
11,12,spotify:track:12v6LfkX9YIR3uLefIAAYZ,Mc Jacaré,Comprei um Lança,Mc Jacare / Los Pantchos,12,12,36,327707,12v6LfkX9YIR3uLefIAAYZ,-0.8807,0.041,0.959,0.0
12,13,spotify:track:60wF0XnX7A0jVpDNA5v8vi,"Vytinho NG, Bianca",Tudo no Sigilo,Vytinho Ng,3,14,133,321962,60wF0XnX7A0jVpDNA5v8vi,-0.8642,0.03,0.97,0.0
13,14,spotify:track:51uXmhqGR76tT2UeKZyeN6,"Marília Mendonça, Maiara & Maraisa",Quero Você do Jeito Que Quiser,Som Livre,14,15,19,320881,51uXmhqGR76tT2UeKZyeN6,0.9186,0.0,0.96,0.04
14,15,spotify:track:3WjSkl7VDWY1prwJw7dSG0,Zé Neto & Cristiano,Barzinho Aleatório - Ao Vivo,Som Livre,7,13,236,316583,3WjSkl7VDWY1prwJw7dSG0,-0.5267,0.021,0.979,0.0
15,16,spotify:track:7Ac3BmqTQoLdAt7HtZyfgN,"DENNIS, Mc Don Juan",Te Prometo,Sony Music Entertainment,8,17,172,310786,7Ac3BmqTQoLdAt7HtZyfgN,-0.9874,0.021,0.965,0.013
16,17,spotify:track:6jcGoHrqfRW6fI2I6xtwBQ,MC Marks,Deus é por nós,WM Brazil,17,18,44,309452,6jcGoHrqfRW6fI2I6xtwBQ,-0.5267,0.01,0.99,0.0
