,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,ID,compound,neg,neu,pos
0,1,spotify:track:27X3qzgB0Show6qfw5wNOK,"DJ Ivis, Tarcísio do Acordeon",Esquema Preferido (feat. Tarcísio do Acordeon),Sony Music Entertainment,1,1,44,905334,27X3qzgB0Show6qfw5wNOK,-0.7622,0.022,0.978,0.0
1,2,spotify:track:7EWXP47VlXKO3r7mNxuWHw,"Wesley Safadão, Os Barões Da Pisadinha","Ele É Ele, Eu Sou Eu",Som Livre,1,2,99,857689,7EWXP47VlXKO3r7mNxuWHw,-0.3331,0.023,0.958,0.019
2,3,spotify:track:58pgi1RpcU2fVJsxhm7BIr,Raí Saia Rodada,Tapão Na Raba,Som Livre,3,4,23,810365,58pgi1RpcU2fVJsxhm7BIr,-0.6808,0.072,0.896,0.033
3,4,spotify:track:1ere9b9vDw2N3m9d4uiXxa,"Diego & Victor Hugo, Bruno & Marrone",Facas - Ao Vivo,Sony Music Entertainment,3,3,127,786678,1ere9b9vDw2N3m9d4uiXxa,0.0,0.0,1.0,0.0
4,5,spotify:track:6sPBi0qLI6KM3yXX56NxsA,Tarcísio do Acordeon,Meia Noite (Você tem meu Whatsapp),Sua Música,1,7,78,670848,6sPBi0qLI6KM3yXX56NxsA,0.9769,0.02,0.896,0.084
5,6,spotify:track:2nZj5YymF54qhAu7RneVP6,Hugo & Guilherme,Coração Na Cama - Ao Vivo,Som Livre,6,8,85,668628,2nZj5YymF54qhAu7RneVP6,0.0,0.0,1.0,0.0
6,7,spotify:track:0QglpM23kl9ldvVdoYNZwF,"Kawe, Mc Lele JP",Mds,OQProduções,1,5,55,643797,0QglpM23kl9ldvVdoYNZwF,-0.5848,0.022,0.966,0.012
7,8,spotify:track:5m5aY6S9ttfIG157xli2Rs,Zé Neto & Cristiano,Alô Ambev (Segue Sua Vida) - Ao Vivo,Som Livre,3,9,176,642887,5m5aY6S9ttfIG157xli2Rs,0.0,0.0,1.0,0.0
8,9,spotify:track:07AQkmp456NpEnT8HR7WLy,"Teto, Matuê",M4,30PRAUM,5,6,71,613757,07AQkmp456NpEnT8HR7WLy,0.5908,0.058,0.889,0.053
9,10,spotify:track:7GLWWrk1YlkPYqJK3ynIA0,Jorge & Mateus,Lance Individual,Som Livre,3,10,99,603068,7GLWWrk1YlkPYqJK3ynIA0,-0.9034,0.047,0.953,0.0
10,11,spotify:track:2JTir3y1VuJQmexiTCMcTP,Os Barões Da Pisadinha,Recairei - Ao Vivo,Sony Music Entertainment,1,11,282,547168,2JTir3y1VuJQmexiTCMcTP,0.8555,0.0,0.898,0.102
11,12,spotify:track:3rRin3LyLY92kpEbkCgwf4,"Os Barões Da Pisadinha, Xand Avião",Basta Você Me Ligar - Ao Vivo,Sony Music Entertainment,2,14,246,532666,3rRin3LyLY92kpEbkCgwf4,0.0,0.0,1.0,0.0
12,13,spotify:track:1O74aTse7W5hd2rAvnEVaW,"Jeff Costa, Mc Danny",Xerecard,Love Funk & Adm Mídias Brasil,9,12,43,525598,1O74aTse7W5hd2rAvnEVaW,-0.9655,0.05,0.95,0.0
13,14,spotify:track:0WlmiIK5qFQ4dAB4mCA4sI,"Os Barões Da Pisadinha, Fernando & Sorocaba",Amor da Despedida,Sony Music Entertainment,9,15,106,483107,0WlmiIK5qFQ4dAB4mCA4sI,0.9971,0.0,0.783,0.217
14,15,spotify:track:0YqTL3nSL36OFdHwHoqCag,"Luísa Sonza, Pabllo Vittar, Anitta",MODO TURBO,Universal Music Ltda.,1,13,60,480317,0YqTL3nSL36OFdHwHoqCag,-0.9796,0.114,0.849,0.037
