,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,ID,compound,neg,neu,pos
0,1,spotify:track:3Ghyp3X5Ua9ypHnBIgOObI,Henrique & Juliano,Liberdade Provisória - Live - Ibirapuera / 2019,Virgin Music Label And Artist Services (S&D),1,1,90,626651,3Ghyp3X5Ua9ypHnBIgOObI,-0.6808,0.023,0.977,0.0
1,2,spotify:track:3tv697PZNnaQN0Mn2zGhS5,Gusttavo Lima,A Gente Fez Amor - Ao Vivo,Sony Music Entertainment,2,2,90,556879,3tv697PZNnaQN0Mn2zGhS5,0.9946,0.029,0.823,0.148
2,3,spotify:track:5W1kqz2l1lDX77DXBMeXZg,Matheus & Kauan,Litrão - Ao Vivo Em Recife / 2020,Universal Music Ltda.,3,3,34,476160,5W1kqz2l1lDX77DXBMeXZg,-0.7989,0.029,0.971,0.0
3,4,spotify:track:1K7WzjKDcDdVbKNGrB0gej,"Major Lazer, MC Lan, Anitta, BEAM",Rave de Favela (feat. BEAM),WM Brazil,4,7,19,463786,1K7WzjKDcDdVbKNGrB0gej,-0.9959,0.211,0.724,0.065
4,5,spotify:track:4lKuzrdZrJuCAedbIslF3A,"PEDRO SAMPAIO, Felipe Original, JS o Mão de Ouro",SENTADÃO,WM Brazil,2,4,104,444369,4lKuzrdZrJuCAedbIslF3A,0.5696,0.06,0.867,0.073
5,6,spotify:track:3tc8Z4lGzOIwmIVftsxO6o,Marília Mendonça,Graveto - Ao Vivo,Som Livre,5,5,55,441720,3tc8Z4lGzOIwmIVftsxO6o,0.34,0.015,0.968,0.017
6,7,spotify:track:1rgnBhdG2JDFTbYkYRZAku,Tones And I,Dance Monkey,Elektra (NEK),5,6,164,423749,1rgnBhdG2JDFTbYkYRZAku,0.0387,0.023,0.946,0.03
7,8,spotify:track:4HUZBG98TYbxSR9V1V2DWS,"Thiaguinho MT, Mila, JS o Mão de Ouro",Tudo Ok,Sony Music Entertainment,1,8,66,414191,4HUZBG98TYbxSR9V1V2DWS,-0.889,0.063,0.906,0.032
8,9,spotify:track:5L8ZEyIdZ2KE4Wf51SsuOF,Gustavo Mioto,Com Ou Sem Mim - Ao Vivo,Universal Music Ltda.,5,10,104,404037,5L8ZEyIdZ2KE4Wf51SsuOF,0.8541,0.0,0.963,0.037
9,10,spotify:track:63SHcJzckFykS8faA5zojY,"MC Ingryd, DJ Henrique da VK",Vem Me Satisfazer,MC Ingryd,4,9,92,402669,63SHcJzckFykS8faA5zojY,-0.9718,0.066,0.934,0.0
10,11,spotify:track:3J5Pu25BODMex4Jpy4l6FL,"Luíza & Maurílio, Zé Neto & Cristiano",S de Saudade,Som Livre,7,11,125,380188,3J5Pu25BODMex4Jpy4l6FL,0.0,0.0,1.0,0.0
11,12,spotify:track:7vZqxuOvEwRHsGVaDykzpY,Os Parazim,Porta Mala,Os Parazim,7,17,75,379090,7vZqxuOvEwRHsGVaDykzpY,-0.296,0.004,0.996,0.0
12,13,spotify:track:2PWjKmjyTZeDpmOUa3a5da,Jorge & Mateus,Cheirosa - Ao Vivo,Som Livre,3,13,146,350760,2PWjKmjyTZeDpmOUa3a5da,-0.5267,0.02,0.98,0.0
13,14,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,Dua Lipa,Don't Start Now,Warner Records,12,12,125,347611,6WrI0LAC5M1Rw2MnX2ZvEg,-0.9873,0.129,0.839,0.032
14,15,spotify:track:2Q9TaUXNM4mNSCgJjbmsJe,Zé Neto & Cristiano,Bebi Minha Bicicleta (Coração Falido) - Ao Vivo,Som Livre,4,14,97,338276,2Q9TaUXNM4mNSCgJjbmsJe,0.0,0.0,1.0,0.0
15,16,spotify:track:2bPtwnrpFNEe8N7Q85kLHw,"Anitta, Lexa, Luísa Sonza, Rebecca",Combatchy (feat. MC Rebecca),WM Brazil,1,15,106,334132,2bPtwnrpFNEe8N7Q85kLHw,-0.9637,0.061,0.939,0.0
