,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,ID,compound,neg,neu,pos
0,1,spotify:track:4HUZBG98TYbxSR9V1V2DWS,"Thiaguinho MT, Mila, JS o Mão de Ouro",Tudo Ok,Sony Music Entertainment,1,1,56,873666,4HUZBG98TYbxSR9V1V2DWS,-0.889,0.063,0.906,0.032
1,2,spotify:track:3Ghyp3X5Ua9ypHnBIgOObI,Henrique & Juliano,Liberdade Provisória - Live - Ibirapuera / 2019,Virgin Music Label And Artist Services (S&D),1,2,80,784540,3Ghyp3X5Ua9ypHnBIgOObI,-0.6808,0.023,0.977,0.0
2,3,spotify:track:4lKuzrdZrJuCAedbIslF3A,"PEDRO SAMPAIO, Felipe Original, JS o Mão de Ouro",SENTADÃO,WM Brazil,2,3,94,766911,4lKuzrdZrJuCAedbIslF3A,0.5696,0.06,0.867,0.073
3,4,spotify:track:3tv697PZNnaQN0Mn2zGhS5,Gusttavo Lima,A Gente Fez Amor - Ao Vivo,Sony Music Entertainment,2,4,80,646337,3tv697PZNnaQN0Mn2zGhS5,0.9946,0.029,0.823,0.148
4,5,spotify:track:63SHcJzckFykS8faA5zojY,"MC Ingryd, DJ Henrique da VK",Vem Me Satisfazer,MC Ingryd,4,5,82,603756,63SHcJzckFykS8faA5zojY,-0.9718,0.066,0.934,0.0
5,6,spotify:track:2bPtwnrpFNEe8N7Q85kLHw,"Anitta, Lexa, Luísa Sonza, Rebecca",Combatchy (feat. MC Rebecca),WM Brazil,1,7,96,573345,2bPtwnrpFNEe8N7Q85kLHw,-0.9637,0.061,0.939,0.0
6,7,spotify:track:1K7WzjKDcDdVbKNGrB0gej,"Major Lazer, MC Lan, Anitta, BEAM",Rave de Favela (feat. BEAM),WM Brazil,4,6,9,563418,1K7WzjKDcDdVbKNGrB0gej,-0.9959,0.211,0.724,0.065
7,8,spotify:track:5F8ffc8KWKNawllr5WsW0r,"Dadá Boladão, Tati Zaqui, OIK",Surtada - Remix Brega Funk,Sony Music Entertainment,1,8,147,534481,5F8ffc8KWKNawllr5WsW0r,-0.5267,0.014,0.986,0.0
8,9,spotify:track:5L8ZEyIdZ2KE4Wf51SsuOF,Gustavo Mioto,Com Ou Sem Mim - Ao Vivo,Universal Music Ltda.,6,9,94,518086,5L8ZEyIdZ2KE4Wf51SsuOF,0.8541,0.0,0.963,0.037
9,10,spotify:track:2Q9TaUXNM4mNSCgJjbmsJe,Zé Neto & Cristiano,Bebi Minha Bicicleta (Coração Falido) - Ao Vivo,Som Livre,4,12,87,474748,2Q9TaUXNM4mNSCgJjbmsJe,0.0,0.0,1.0,0.0
10,11,spotify:track:3J5Pu25BODMex4Jpy4l6FL,"Luíza & Maurílio, Zé Neto & Cristiano",S de Saudade,Som Livre,9,11,115,473825,3J5Pu25BODMex4Jpy4l6FL,0.0,0.0,1.0,0.0
11,12,spotify:track:5W1kqz2l1lDX77DXBMeXZg,Matheus & Kauan,Litrão - Ao Vivo Em Recife / 2020,Universal Music Ltda.,10,13,24,471869,5W1kqz2l1lDX77DXBMeXZg,-0.7989,0.029,0.971,0.0
12,13,spotify:track:3tc8Z4lGzOIwmIVftsxO6o,Marília Mendonça,Graveto - Ao Vivo,Som Livre,5,10,45,467570,3tc8Z4lGzOIwmIVftsxO6o,0.34,0.015,0.968,0.017
13,14,spotify:track:7yYsyXQa2JgbyL9fkEiUNt,Pabllo Vittar,Amor de Que,Sony Music Entertainment,11,14,115,455472,7yYsyXQa2JgbyL9fkEiUNt,0.995,0.032,0.792,0.176
14,15,spotify:track:2PWjKmjyTZeDpmOUa3a5da,Jorge & Mateus,Cheirosa - Ao Vivo,Som Livre,3,15,136,445983,2PWjKmjyTZeDpmOUa3a5da,-0.5267,0.02,0.98,0.0
15,16,spotify:track:4RC2nzqaQygxoVQOVv3XlT,"Leo Santana, Anitta",Contatinho - Ao Vivo,Universal Music Ltda.,5,18,171,438268,4RC2nzqaQygxoVQOVv3XlT,0.8692,0.014,0.958,0.028
16,17,spotify:track:1uryupl9hqVZYurJwH4G9k,Guilherme & Benuto,3 Batidas - Ao Vivo,Sony Music Entertainment,8,16,183,435718,1uryupl9hqVZYurJwH4G9k,0.0,0.083,0.856,0.061
17,18,spotify:track:2RMOwSvOGQyy985Vx4VSGQ,"LUDMILLA, Topo La Maskara, Walshy Fire",Verdinha,WM Brazil,8,19,87,421025,2RMOwSvOGQyy985Vx4VSGQ,-0.1431,0.049,0.917,0.034
18,19,spotify:track:1rgnBhdG2JDFTbYkYRZAku,Tones And I,Dance Monkey,Elektra (NEK),5,17,154,405477,1rgnBhdG2JDFTbYkYRZAku,0.0387,0.023,0.946,0.03
19,20,spotify:track:3GmJxfnUDrIs1iCfKUELFz,Marília Mendonça,Supera - Ao Vivo,Som Livre,1,20,192,388827,3GmJxfnUDrIs1iCfKUELFz,0.8402,0.0,0.964,0.036
20,21,spotify:track:6lK3nCiigk34SGqEjpQoqO,Maiara & Maraisa,Aí Eu Bebo - Ao Vivo,Som Livre,13,21,129,385194,6lK3nCiigk34SGqEjpQoqO,0.0,0.0,1.0,0.0
21,22,spotify:track:7vZqxuOvEwRHsGVaDykzpY,Os Parazim,Porta Mala,Os Parazim,7,25,65,373677,7vZqxuOvEwRHsGVaDykzpY,-0.296,0.004,0.996,0.0
