,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,ID,compound,neg,neu,pos
0,1,spotify:track:2WlZuBDgLfT7Kc0admhFdg,Luísa Sonza,BRABA,Universal Music Ltda.,1,1,17,698392,2WlZuBDgLfT7Kc0admhFdg,-0.5267,0.017,0.983,0.0
1,2,spotify:track:3tv697PZNnaQN0Mn2zGhS5,Gusttavo Lima,A Gente Fez Amor - Ao Vivo,Sony Music Entertainment,1,2,120,698021,3tv697PZNnaQN0Mn2zGhS5,0.9946,0.029,0.823,0.148
2,3,spotify:track:3Ghyp3X5Ua9ypHnBIgOObI,Henrique & Juliano,Liberdade Provisória - Live - Ibirapuera / 2019,Virgin Music Label And Artist Services (S&D),1,3,120,595367,3Ghyp3X5Ua9ypHnBIgOObI,-0.6808,0.023,0.977,0.0
3,4,spotify:track:3PfIrDoz19wz7qK7tYeu62,Dua Lipa,Don't Start Now,Warner Records,1,4,155,525194,3PfIrDoz19wz7qK7tYeu62,-0.9873,0.129,0.839,0.032
4,5,spotify:track:1K7WzjKDcDdVbKNGrB0gej,"Major Lazer, MC Lan, Anitta, BEAM",Rave de Favela (feat. BEAM),WM Brazil,2,5,49,475623,1K7WzjKDcDdVbKNGrB0gej,-0.9959,0.211,0.724,0.065
5,6,spotify:track:5W1kqz2l1lDX77DXBMeXZg,Matheus & Kauan,Litrão - Ao Vivo Em Recife / 2020,Universal Music Ltda.,3,7,64,464563,5W1kqz2l1lDX77DXBMeXZg,-0.7989,0.029,0.971,0.0
6,7,spotify:track:3tc8Z4lGzOIwmIVftsxO6o,Marília Mendonça,Graveto - Ao Vivo,Som Livre,3,6,85,451812,3tc8Z4lGzOIwmIVftsxO6o,0.34,0.015,0.968,0.017
7,8,spotify:track:3J5Pu25BODMex4Jpy4l6FL,"Luíza & Maurílio, Zé Neto & Cristiano",S de Saudade,Som Livre,6,8,155,434734,3J5Pu25BODMex4Jpy4l6FL,0.0,0.0,1.0,0.0
8,9,spotify:track:2PWjKmjyTZeDpmOUa3a5da,Jorge & Mateus,Cheirosa - Ao Vivo,Som Livre,3,10,176,402243,2PWjKmjyTZeDpmOUa3a5da,-0.5267,0.02,0.98,0.0
9,10,spotify:track:4lKuzrdZrJuCAedbIslF3A,"PEDRO SAMPAIO, Felipe Original, JS o Mão de Ouro",SENTADÃO,WM Brazil,2,11,134,378035,4lKuzrdZrJuCAedbIslF3A,0.5696,0.06,0.867,0.073
