,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,ID,compound,neg,neu,pos
58,59,spotify:track:6sRLrSetyIwIKhW1eMlUNP,"Matheus & Kauan, Marília Mendonça",Vou Ter Que Superar - Ao Vivo,Universal Music Ltda.,2,64,397,145150,6sRLrSetyIwIKhW1eMlUNP,0.9304,0.0,0.962,0.038
59,60,spotify:track:3oqC4Ta40ft6NnTJwcUTdi,"Rashid, Lukinhas, Emicida",Pipa Voada (feat. Emicida),Sony Music Entertainment,57,57,45,143870,3oqC4Ta40ft6NnTJwcUTdi,0.0,0.0,1.0,0.0
60,61,spotify:track:2KyXyTrp3kp1Fsg7B1osYD,"Yasmin Santos, Marília Mendonça","Para, Pensa e Volta - Ao Vivo",Sony Music Entertainment,19,69,299,143056,2KyXyTrp3kp1Fsg7B1osYD,0.0,0.0,1.0,0.0
61,62,spotify:track:1Nmcs8zk7LfcvHRgLtTM5J,"Orochi, Papatinho",Amor de Fim de Noite,Mainstreet Records,47,55,157,141318,1Nmcs8zk7LfcvHRgLtTM5J,0.9948,0.004,0.908,0.088
62,63,spotify:track:2TR917wkDeRvwTE5cSfZFf,"Humberto & Ronaldo, Matheus & Kauan",Tchau Brigado - Ao Vivo,Humberto e Ronaldo,46,75,111,139793,2TR917wkDeRvwTE5cSfZFf,0.0,0.0,1.0,0.0
63,64,spotify:track:7CHi4DtfK4heMlQaudCuHK,"MEDUZA, Becky Hill, Goodboys",Lose Control,Virgin,53,56,138,138018,7CHi4DtfK4heMlQaudCuHK,0.9626,0.137,0.714,0.149
64,65,spotify:track:15Dl8e6gdR0I1IQn0M4SGi,Simone & Simaria,Amoreco,Universal Music Ltda.,8,74,68,137990,15Dl8e6gdR0I1IQn0M4SGi,-0.6776,0.043,0.957,0.0
65,66,spotify:track:7ArNH109yIfwIquJ535fsi,"Marcos & Belutti, Gaab",Certo e Duvidoso (feat. Gaab) - Ao Vivo,Sony Music Entertainment,55,73,84,137866,7ArNH109yIfwIquJ535fsi,0.9776,0.0,0.936,0.064
66,67,spotify:track:159ntSAEWJ9zIMOSXmQ530,Luan Santana,choque térmico - ao vivo,Som Livre,11,72,243,137841,159ntSAEWJ9zIMOSXmQ530,0.8402,0.0,0.97,0.03
67,68,spotify:track:3AzjcOeAmA57TIOr9zF1ZW,Dua Lipa,Physical,Warner Records,11,52,79,136766,3AzjcOeAmA57TIOr9zF1ZW,0.9313,0.059,0.848,0.094
68,69,spotify:track:3Uq45ipGutypFPmETfaoaH,"MC Du Black, DJ 2F",Gaiola É o Troco,EP MIX Editora,1,63,268,135559,3Uq45ipGutypFPmETfaoaH,0.9581,0.0,0.954,0.046
69,70,spotify:track:3Dv1eDb0MEgF93GpLXlucZ,Doja Cat,Say So,Kemosabe Records/RCA Records,51,54,59,134588,3Dv1eDb0MEgF93GpLXlucZ,0.0,0.0,1.0,0.0
70,71,spotify:track:2rRJrJEo19S2J82BDsQ3F7,Trevor Daniel,Falling,Alamo,51,58,131,134227,2rRJrJEo19S2J82BDsQ3F7,-0.9673,0.146,0.819,0.035
71,72,spotify:track:4UUtssVRs2aQTLQCAAtZg1,Jorge & Mateus,"Mil Anos - Recorded At Mosh Studios, São Paulo",Som Livre,29,81,134,133800,4UUtssVRs2aQTLQCAAtZg1,0.8402,0.0,0.953,0.047
72,73,spotify:track:5FFpRbsH9WDYNoLauRAHpj,"MC Kevinho, Dadá Boladão, MC JottaPê",Paredão,WM Brazil,18,70,121,132157,5FFpRbsH9WDYNoLauRAHpj,-0.9581,0.059,0.941,0.0
73,74,spotify:track:08Sd5vVcIH3uKeAiaJdoYj,Lauana Prado,Viva Voz - Ao Vivo Em São Paulo / 2019,Universal Music Ltda.,71,85,47,126928,08Sd5vVcIH3uKeAiaJdoYj,0.8625,0.038,0.858,0.104
74,75,spotify:track:13frX77GWi63BYKwHeTNXi,Henrique & Juliano,Eterno Replay - Ao Vivo,Virgin Music Label And Artist Services (S&D),54,60,5,125838,13frX77GWi63BYKwHeTNXi,0.0,0.0,1.0,0.0
75,76,spotify:track:4jGzR5Vri06Y5T9SxM7m5P,"Xand Avião, Gusttavo Lima",Algo Mais (Amante) - Ao Vivo,Som Livre,10,102,343,124621,4jGzR5Vri06Y5T9SxM7m5P,-0.9688,0.018,0.981,0.001
76,77,spotify:track:6toDZSoqG5QUitFsoxavRy,"Vitão, Anitta",Complicado,Universal Music Ltda.,8,68,201,124217,6toDZSoqG5QUitFsoxavRy,0.9446,0.009,0.94,0.05
77,78,spotify:track:5STHFaWYO1KeyITjvB4hR8,Marília Mendonça,Tentativas,Som Livre,20,84,68,122263,5STHFaWYO1KeyITjvB4hR8,0.9581,0.018,0.901,0.081
