,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,ID,compound,neg,neu,pos
0,1,spotify:track:3Ghyp3X5Ua9ypHnBIgOObI,Henrique & Juliano,Liberdade Provisória - Live - Ibirapuera / 2019,Virgin Music Label And Artist Services (S&D),1,1,101,753141,3Ghyp3X5Ua9ypHnBIgOObI,-0.6808,0.023,0.977,0.0
1,2,spotify:track:3tv697PZNnaQN0Mn2zGhS5,Gusttavo Lima,A Gente Fez Amor - Ao Vivo,Sony Music Entertainment,2,2,101,659349,3tv697PZNnaQN0Mn2zGhS5,0.9946,0.029,0.823,0.148
2,3,spotify:track:5W1kqz2l1lDX77DXBMeXZg,Matheus & Kauan,Litrão - Ao Vivo Em Recife / 2020,Universal Music Ltda.,3,3,45,545207,5W1kqz2l1lDX77DXBMeXZg,-0.7989,0.029,0.971,0.0
3,4,spotify:track:3tc8Z4lGzOIwmIVftsxO6o,Marília Mendonça,Graveto - Ao Vivo,Som Livre,3,4,66,527388,3tc8Z4lGzOIwmIVftsxO6o,0.34,0.015,0.968,0.017
4,5,spotify:track:4lKuzrdZrJuCAedbIslF3A,"PEDRO SAMPAIO, Felipe Original, JS o Mão de Ouro",SENTADÃO,WM Brazil,2,5,115,506689,4lKuzrdZrJuCAedbIslF3A,0.5696,0.06,0.867,0.073
5,6,spotify:track:1K7WzjKDcDdVbKNGrB0gej,"Major Lazer, MC Lan, Anitta, BEAM",Rave de Favela (feat. BEAM),WM Brazil,4,7,30,493199,1K7WzjKDcDdVbKNGrB0gej,-0.9959,0.211,0.724,0.065
6,7,spotify:track:3J5Pu25BODMex4Jpy4l6FL,"Luíza & Maurílio, Zé Neto & Cristiano",S de Saudade,Som Livre,6,6,136,487053,3J5Pu25BODMex4Jpy4l6FL,0.0,0.0,1.0,0.0
7,8,spotify:track:2Q9TaUXNM4mNSCgJjbmsJe,Zé Neto & Cristiano,Bebi Minha Bicicleta (Coração Falido) - Ao Vivo,Som Livre,4,9,108,469560,2Q9TaUXNM4mNSCgJjbmsJe,0.0,0.0,1.0,0.0
8,9,spotify:track:4HUZBG98TYbxSR9V1V2DWS,"Thiaguinho MT, Mila, JS o Mão de Ouro",Tudo Ok,Sony Music Entertainment,1,8,77,468850,4HUZBG98TYbxSR9V1V2DWS,-0.889,0.063,0.906,0.032
9,10,spotify:track:2PWjKmjyTZeDpmOUa3a5da,Jorge & Mateus,Cheirosa - Ao Vivo,Som Livre,3,10,157,457653,2PWjKmjyTZeDpmOUa3a5da,-0.5267,0.02,0.98,0.0
10,11,spotify:track:63SHcJzckFykS8faA5zojY,"MC Ingryd, DJ Henrique da VK",Vem Me Satisfazer,MC Ingryd,4,11,103,431427,63SHcJzckFykS8faA5zojY,-0.9718,0.066,0.934,0.0
11,12,spotify:track:1uryupl9hqVZYurJwH4G9k,Guilherme & Benuto,3 Batidas - Ao Vivo,Sony Music Entertainment,8,12,204,414468,1uryupl9hqVZYurJwH4G9k,0.0,0.083,0.856,0.061
12,13,spotify:track:15Dl8e6gdR0I1IQn0M4SGi,Simone & Simaria,Amoreco,Universal Music Ltda.,13,17,31,402573,15Dl8e6gdR0I1IQn0M4SGi,-0.6776,0.043,0.957,0.0
13,14,spotify:track:5L8ZEyIdZ2KE4Wf51SsuOF,Gustavo Mioto,Com Ou Sem Mim - Ao Vivo,Universal Music Ltda.,5,13,115,400779,5L8ZEyIdZ2KE4Wf51SsuOF,0.8541,0.0,0.963,0.037
14,15,spotify:track:3GmJxfnUDrIs1iCfKUELFz,Marília Mendonça,Supera - Ao Vivo,Som Livre,1,15,213,392264,3GmJxfnUDrIs1iCfKUELFz,0.8402,0.0,0.964,0.036
15,16,spotify:track:7o9LwQmTuIDm4LyyHFIWul,Henrique & Juliano,Volta Por Baixo - Ao Vivo,Virgin Music Label And Artist Services (S&D),16,16,66,384999,7o9LwQmTuIDm4LyyHFIWul,0.9798,0.0,0.907,0.093
16,17,spotify:track:1rgnBhdG2JDFTbYkYRZAku,Tones And I,Dance Monkey,Elektra (NEK),5,14,175,381595,1rgnBhdG2JDFTbYkYRZAku,0.0387,0.023,0.946,0.03
17,18,spotify:track:2bPtwnrpFNEe8N7Q85kLHw,"Anitta, Lexa, Luísa Sonza, Rebecca",Combatchy (feat. MC Rebecca),WM Brazil,1,18,117,364418,2bPtwnrpFNEe8N7Q85kLHw,-0.9637,0.061,0.939,0.0
18,19,spotify:track:6lK3nCiigk34SGqEjpQoqO,Maiara & Maraisa,Aí Eu Bebo - Ao Vivo,Som Livre,13,19,150,360981,6lK3nCiigk34SGqEjpQoqO,0.0,0.0,1.0,0.0
