,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,ID,compound,neg,neu,pos
0,1,spotify:track:3Ghyp3X5Ua9ypHnBIgOObI,Henrique & Juliano,Liberdade Provisória - Live - Ibirapuera / 2019,Virgin Music Label And Artist Services (S&D),1,1,67,665606,3Ghyp3X5Ua9ypHnBIgOObI,-0.6808,0.023,0.977,0.0
1,2,spotify:track:3tv697PZNnaQN0Mn2zGhS5,Gusttavo Lima,A Gente Fez Amor - Ao Vivo,Sony Music Entertainment,2,2,67,549745,3tv697PZNnaQN0Mn2zGhS5,0.9946,0.029,0.823,0.148
2,3,spotify:track:4HUZBG98TYbxSR9V1V2DWS,"Thiaguinho MT, Mila, JS o Mão de Ouro",Tudo Ok,Sony Music Entertainment,2,3,43,484111,4HUZBG98TYbxSR9V1V2DWS,-0.889,0.063,0.906,0.032
3,4,spotify:track:4lKuzrdZrJuCAedbIslF3A,"PEDRO SAMPAIO, Felipe Original, JS o Mão de Ouro",SENTADÃO,WM Brazil,2,4,81,477148,4lKuzrdZrJuCAedbIslF3A,0.5696,0.06,0.867,0.073
4,5,spotify:track:1rgnBhdG2JDFTbYkYRZAku,Tones And I,Dance Monkey,Elektra (NEK),5,9,141,466319,1rgnBhdG2JDFTbYkYRZAku,0.0387,0.023,0.946,0.03
5,6,spotify:track:63SHcJzckFykS8faA5zojY,"MC Ingryd, DJ Henrique da VK",Vem Me Satisfazer,MC Ingryd,5,6,69,437812,63SHcJzckFykS8faA5zojY,-0.9718,0.066,0.934,0.0
6,7,spotify:track:5L8ZEyIdZ2KE4Wf51SsuOF,Gustavo Mioto,Com Ou Sem Mim - Ao Vivo,Universal Music Ltda.,7,7,81,436191,5L8ZEyIdZ2KE4Wf51SsuOF,0.8541,0.0,0.963,0.037
7,8,spotify:track:3tc8Z4lGzOIwmIVftsxO6o,Marília Mendonça,Graveto - Ao Vivo,Som Livre,5,5,32,435903,3tc8Z4lGzOIwmIVftsxO6o,0.34,0.015,0.968,0.017
8,9,spotify:track:7vZqxuOvEwRHsGVaDykzpY,Os Parazim,Porta Mala,Os Parazim,7,12,52,401591,7vZqxuOvEwRHsGVaDykzpY,-0.296,0.004,0.996,0.0
9,10,spotify:track:2bPtwnrpFNEe8N7Q85kLHw,"Anitta, Lexa, Luísa Sonza, Rebecca",Combatchy (feat. MC Rebecca),WM Brazil,1,8,83,395342,2bPtwnrpFNEe8N7Q85kLHw,-0.9637,0.061,0.939,0.0
10,11,spotify:track:2Q9TaUXNM4mNSCgJjbmsJe,Zé Neto & Cristiano,Bebi Minha Bicicleta (Coração Falido) - Ao Vivo,Som Livre,4,10,74,351966,2Q9TaUXNM4mNSCgJjbmsJe,0.0,0.0,1.0,0.0
11,12,spotify:track:2PWjKmjyTZeDpmOUa3a5da,Jorge & Mateus,Cheirosa - Ao Vivo,Som Livre,3,11,123,350616,2PWjKmjyTZeDpmOUa3a5da,-0.5267,0.02,0.98,0.0
12,13,spotify:track:5F8ffc8KWKNawllr5WsW0r,"Dadá Boladão, Tati Zaqui, OIK",Surtada - Remix Brega Funk,Sony Music Entertainment,1,13,134,345428,5F8ffc8KWKNawllr5WsW0r,-0.5267,0.014,0.986,0.0
13,14,spotify:track:3J5Pu25BODMex4Jpy4l6FL,"Luíza & Maurílio, Zé Neto & Cristiano",S de Saudade,Som Livre,10,14,102,338506,3J5Pu25BODMex4Jpy4l6FL,0.0,0.0,1.0,0.0
14,15,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,Dua Lipa,Don't Start Now,Warner Records,15,28,102,317434,6WrI0LAC5M1Rw2MnX2ZvEg,-0.9873,0.129,0.839,0.032
15,16,spotify:track:3GmJxfnUDrIs1iCfKUELFz,Marília Mendonça,Supera - Ao Vivo,Som Livre,1,15,179,311712,3GmJxfnUDrIs1iCfKUELFz,0.8402,0.0,0.964,0.036
16,17,spotify:track:1uryupl9hqVZYurJwH4G9k,Guilherme & Benuto,3 Batidas - Ao Vivo,Sony Music Entertainment,8,16,170,290248,1uryupl9hqVZYurJwH4G9k,0.0,0.083,0.856,0.061
17,18,spotify:track:2MOq63fxuFLYQM3CsDcFs1,GIULIA BE,menina solta,WM Brazil,10,32,126,283148,2MOq63fxuFLYQM3CsDcFs1,0.2244,0.015,0.973,0.013
18,19,spotify:track:6lK3nCiigk34SGqEjpQoqO,Maiara & Maraisa,Aí Eu Bebo - Ao Vivo,Som Livre,13,17,116,267332,6lK3nCiigk34SGqEjpQoqO,0.0,0.0,1.0,0.0
