,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,ID,compound,neg,neu,pos
0,1,spotify:track:4xWzZmX4K1yyrdtRfbUvjt,Niack,Oh Juliana,Niack,1,1,6,5843407,4xWzZmX4K1yyrdtRfbUvjt,0.9811,0.01,0.945,0.046
1,2,spotify:track:4zGtfOglDBfVUypabBwIjQ,"Mc Zaac, Anitta, Tyga",Desce Pro Play (PA PA PA),Universal Music Ltda.,1,2,8,3758191,4zGtfOglDBfVUypabBwIjQ,-0.918,0.049,0.935,0.016
2,3,spotify:track:15k1TDabqSEmyXOwMq9RM7,Jonas Esticado,Investe Em Mim,Som Livre,3,3,8,3728790,15k1TDabqSEmyXOwMq9RM7,0.0,0.0,1.0,0.0
3,4,spotify:track:0AGS6ZRgzobrazmCi6pYMe,Niack,Na Raba Toma Tapão,Niack / Ritmo dos Fluxos,1,5,14,3175442,0AGS6ZRgzobrazmCi6pYMe,-0.8126,0.032,0.957,0.011
4,5,spotify:track:2fmeSswdyVq4wcqhY41UHk,"Pineapple StormTv, L7NNON, Chris MC, Xamã, Lourena, Cesar Mc, Djonga, Filipe Ret, Salve Malak, Hunter",Poesia Acústica #9: Melhor Forma,Pineapple StormTV,3,4,6,2973117,2fmeSswdyVq4wcqhY41UHk,0.0,0.0,1.0,0.0
5,6,spotify:track:7o9LwQmTuIDm4LyyHFIWul,Henrique & Juliano,Volta Por Baixo - Ao Vivo,Virgin Music Label And Artist Services (S&D),3,6,32,2901837,7o9LwQmTuIDm4LyyHFIWul,0.9798,0.0,0.907,0.093
6,7,spotify:track:51uXmhqGR76tT2UeKZyeN6,"Marília Mendonça, Maiara & Maraisa",Quero Você do Jeito Que Quiser,Som Livre,7,13,6,2818001,51uXmhqGR76tT2UeKZyeN6,0.9186,0.0,0.96,0.04
7,8,spotify:track:5GAdMAL3tRJkVN1HtwohK2,"Mc Don Juan, Maiara & Maraisa",Vai Ter Que Aguentar,GR6 Music,8,10,12,2810729,5GAdMAL3tRJkVN1HtwohK2,-0.9355,0.051,0.949,0.0
8,9,spotify:track:0RaIjuKU5hudMteEXwr4RS,Jorge & Mateus,Ranking,Som Livre,4,7,24,2759386,0RaIjuKU5hudMteEXwr4RS,-0.89,0.045,0.955,0.0
9,10,spotify:track:4zsiMjB0794HztyqUkD3Zi,"Dilsinho, Henrique & Juliano",Sogra - Ao Vivo,Sony Music Entertainment,10,15,11,2756182,4zsiMjB0794HztyqUkD3Zi,0.0,0.0,1.0,0.0
10,11,spotify:track:67mqU3FeErlvWwsxnMfvQo,"MC Du Black, Delacruz",Tudo Aconteceu,Universal Music Ltda.,6,11,21,2714215,67mqU3FeErlvWwsxnMfvQo,-0.9413,0.05,0.95,0.0
11,12,spotify:track:12v6LfkX9YIR3uLefIAAYZ,Mc Jacaré,Comprei um Lança,Mc Jacare / Los Pantchos,12,12,8,2607641,12v6LfkX9YIR3uLefIAAYZ,-0.8807,0.041,0.959,0.0
12,13,spotify:track:3WjSkl7VDWY1prwJw7dSG0,Zé Neto & Cristiano,Barzinho Aleatório - Ao Vivo,Som Livre,8,8,37,2605430,3WjSkl7VDWY1prwJw7dSG0,-0.5267,0.021,0.979,0.0
13,14,spotify:track:3tc8Z4lGzOIwmIVftsxO6o,Marília Mendonça,Graveto - Ao Vivo,Som Livre,3,9,32,2479634,3tc8Z4lGzOIwmIVftsxO6o,0.34,0.015,0.968,0.017
14,15,spotify:track:4DngRKOpRPrkbzImUB0zgh,Matheus & Kauan,Litrão - Ao Vivo Em Recife / 2020,Universal Music Ltda.,3,14,29,2452845,4DngRKOpRPrkbzImUB0zgh,-0.7989,0.029,0.971,0.0
15,16,spotify:track:260n4ECk9j4IEvTAVBYojl,Matheus & Kauan,Nem Doeu - Ao Vivo,Universal Music Ltda.,16,17,12,2353558,260n4ECk9j4IEvTAVBYojl,-0.5267,0.015,0.985,0.0
