rank	uri	artist_names	track_name	source	peak_rank	previous_rank	weeks_on_chart	streams	ID
1	spotify:track:2RGIuYTsyyHoOCqW0krvNE	Avine Vinny, Matheus Fernandes	Coração Cachorro	Sony Music Entertainment	1	1	4	7492365	2RGIuYTsyyHoOCqW0krvNE
2	spotify:track:4u06FbRh6FvV2FQZkouzCw	Henrique & Juliano	Arranhão - Ao Vivo	Virgin Music Label And Artist Services (S&D)	1	2	11	6756689	4u06FbRh6FvV2FQZkouzCw
3	spotify:track:4kGdnA7FzSVsXC29LPghej	Zé Felipe, Marcynho Sensação	Revoada No Colchão	Som Livre	3	3	5	5697837	4kGdnA7FzSVsXC29LPghej
4	spotify:track:0DsPj89zlY3Us7xb5cXK5h	DJ Patrick Muniz, Dj Olliver, Mc Topre, Mc Rennan	Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)	Tratto Entretenimentos	4	9	3	5686149	0DsPj89zlY3Us7xb5cXK5h
5	spotify:track:48Ll1C6qAnP2UjnopQDh4a	Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA	Bala Love	Mc Anjim	2	5	9	5279199	48Ll1C6qAnP2UjnopQDh4a
6	spotify:track:3agFBAMPiIvzfTh7a9Udm6	Gusttavo Lima	Nota de Repúdio - Ao Vivo	Sony Music Entertainment	4	4	7	5223456	3agFBAMPiIvzfTh7a9Udm6
7	spotify:track:7pvrsbBKUQI2QmA74WCJa5	Zé Neto & Cristiano	Ela e Ela	Som Livre	3	6	8	5001591	7pvrsbBKUQI2QmA74WCJa5
8	spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6	João Gomes	Meu Pedaço de Pecado	Sua Música	1	7	20	4606425	2kJRlOyrxsy7Ot3c5TZ8Q6
9	spotify:track:2ixi9HWJw5lnLDmRMsiCS5	Zé Neto & Cristiano	Você Beberia Ou Não Beberia?	Som Livre	4	8	13	4101018	2ixi9HWJw5lnLDmRMsiCS5
10	spotify:track:7aZusA4cWXz3Wv9e9uhavz	Matuê	Quer Voar	Sony Music Entertainment	2	10	11	4093741	7aZusA4cWXz3Wv9e9uhavz
11	spotify:track:2jwrYBGz7osKI31v50bS7b	Felipe Amorim	Putariazinha	OnePlay	11	17	4	4091795	2jwrYBGz7osKI31v50bS7b
12	spotify:track:5Q0ZnQjk4lQpScX7ujswun	Henrique & Juliano	A Maior Saudade - Ao Vivo	Virgin Music Label And Artist Services (S&D)	12	12	7	3974969	5Q0ZnQjk4lQpScX7ujswun
13	spotify:track:4XiFqfUXyTwOChvMLKKi0T	DG e Batidão Stronda, Felipe Amorim, Mc Danny	Sem Sentimento	GR6 Music	13	16	9	3942573	4XiFqfUXyTwOChvMLKKi0T
14	spotify:track:2wG1R0uDFwyobcWzVssC1J	PEDRO SAMPAIO	GALOPA	WM Brazil	14	32	5	3784848	2wG1R0uDFwyobcWzVssC1J
15	spotify:track:1bWBG6IkMnDr3qvCKSvQT7	Matheus Fernandes, Dilsinho	Baby Me Atende	Som Livre	3	15	30	3737443	1bWBG6IkMnDr3qvCKSvQT7
16	spotify:track:2ookQf9qP2qiBuNFnNXyfl	John Amplificado	Chega E Senta - Ao Vivo	Virgin Music Label And Artist Services (S&D)	1	11	10	3665669	2ookQf9qP2qiBuNFnNXyfl
17	spotify:track:50gPsfGHy5OnPauA9455DM	Tarcísio do Acordeon, Marcynho Sensação	Rolê	Sua Música	3	14	13	3601511	50gPsfGHy5OnPauA9455DM
